Sample.ID,Sample.ID2,Size,Diet,Diet.1,Genus,Species,Genus.modif,Species.modif,Taxon1,Taxon,Body.mass.mean,Museum.ID.2,Site.Name,Latitude,Longitude ,Cluster,Cluster.2,Level.Age,age estimate,Note.age,Age.Category,Extinction level,Survivor,Trophic level,Tray,Tray.ID,Weight,d15N,d13C,d13C.enamel,d180.enamel-VSMOW,d.180.enamelVPDB,X.N,X.C,C.N,c.N2,commnets,analyzed.at.UNM.publication,Amino Acid 
TMM-933-1013,933-1013,Large,Herbivore,Grazer,Mammuthus,sp.,Mammuthus,sp.,Mammuthus,Mammuthus,10800000,TMM,Friesenhahn Cave,29.62,-98.37,Cluster 5,Cluster 4,,18500,used mid-point age,Pleistocene,Pre-Extinction,Extinct,Pre extinction herb,,,,,-7.99,-1.19,30.4,-0.45,,,0,0,,Koch.2004,
908-2301,908-2301,Large,Herbivore,Grazer,Bison,sp.,Bison,sp.,Bison,Bison,579255,TMM,Kincaid Shelter,29.37,-99.47,Cluster 5,Cluster 4,"Zone 3, Square A-B, 1-2",13000,,Pleistocene,Pre-Extinction,Survivor,,,,,,-11.22,-4.42,30.41,-0.440740896,,,,,,x,
SMNH-WACO-B,SMNH-WACO-B,Large,Herbivore,Grazer,Mammuthus,sp.,Mammuthus,sp.,Mammuthus,Mammuthus,10800000,SMNH,Waco Mammoth Site,31.6,-97.183333,Cluster 1,Cluster 1,,28000,,Pleistocene,Pre-Extinction,Extinct,Pre extinction herb,,,,,-8.55,-1.75,30.43,-0.42,,,0,0,,Koch.2004,
SMNH-WACO-I,SMNH-WACO-I,Large,Herbivore,Grazer,Mammuthus,sp.,Mammuthus,sp.,Mammuthus,Mammuthus,10800000,SMNH,Waco Mammoth Site,31.6,-97.183333,Cluster 1,Cluster 1,,28000,,Pleistocene,Pre-Extinction,Extinct,Pre extinction herb,,,,,-9.06,-2.26,30.44,-0.41,,,0,0,,Koch.2004,
30967-142,30967-142,Large,Herbivore,Grazer,Camelops,sp.,Camelops,hesternus,Camelops,Camelops,1100000,TMM,Ingleside,27.87,-97.2,Cluster 3,Cluster 2,lm3,50000,,Pleistocene,Pre-Extinction,Extinct,Pre extinction herb,,,,,-5.8,1,30.5,-0.349,,,0,0,,Yann et al 2016,
SMP-60442,SMP-60442,Large,Herbivore,Grazer,Equus,sp.,Equus,sp.,Equus,Equus,400000,SMP,Coppell,32.95,-97,Cluster 2,Cluster 1,,30000,,Pleistocene,Pre-Extinction,Extinct,Pre extinction herb,,,,,-11.38,-4.58,30.57,-0.28,,,0,0,,Koch.2004,
SMNH-WACO-12,SMNH-WACO-12,Large,Herbivore,Grazer,Mammuthus,sp.,Mammuthus,sp.,Mammuthus,Mammuthus,10800000,SMNH,Waco Mammoth Site,31.6,-97.183333,Cluster 1,Cluster 1,,28000,,Pleistocene,Pre-Extinction,Extinct,Pre extinction herb,,,,,-9.58,-2.78,30.57,-0.28,,,0,0,,Koch.2004,
40449-87,40449-87,Large,Herbivore,Browser,Odocoileus,,Odocoileus,sp.,Odocoileus,Odocoileus,55509,TMM,Levi Rock Shelter,30.36,-98.1,,Cluster 4,Pleistocene,10000,,Pleistocene,Pre-Extinction,Survivor,Pre extinction herb,,,,,-18.04263415,-11.24263415,30.5763455,-0.275162971,,,0,0,,Uark,
30967-672,30967-672,Large,Herbivore,Browser,Mammut,americanum,Mammut,americanum,Mammut,Mammut,7800000,TMM,Ingleside,27.87,-97.2,Cluster 3,Cluster 2,molar,50000,,Pleistocene,Pre-Extinction,Extinct,Pre extinction herb,,,,,-19.4,-12.6,30.6,-0.252,,,0,0,,Yann et al 2016,
30967-606,30967-606,Large,Herbivore,Browser,Mammut,americanum,Mammut,americanum,Mammut,Mammut,7800000,TMM,Ingleside,27.87,-97.2,Cluster 3,Cluster 2,molar,50000,,Pleistocene,Pre-Extinction,Extinct,Pre extinction herb,,,,,-19.3,-12.5,30.6,-0.252,,,0,0,,Yann et al 2016,
30967-222,30967-222,Large,Herbivore,Browser,Tapirus,veroensis,Tapirus,veroensis,Tapirus,Tapirus,275000,TMM,Ingleside,27.87,-97.2,Cluster 3,Cluster 2,Molar,50000,,Pleistocene,Pre-Extinction,Extinct,Pre extinction herb,,,,,-18.1,-11.3,30.6,-0.252,,,0,0,,Yann et al 2016,
908-84,908-84,Large,Herbivore,Browser,Odocoileus,,Odocoileus,sp.,Odocoileus,Odocoileus,55509,TMM,Kincaid Shelter,29.37,-99.47,Cluster 5,Cluster 4,"Zone 6, Square A-B, 5-6",3500,,Holocene,Post-Extinction,Survivor,Post extinction herb,,,,,-20.22931186,-13.42931186,30.62441464,-0.228532837,,,0,0,,Uark,
SMNH-WACO-21,SMNH-WACO-21,Large,Herbivore,Grazer,Mammuthus,sp.,Mammuthus,sp.,Mammuthus,Mammuthus,10800000,SMNH,Waco Mammoth Site,31.6,-97.183333,Cluster 1,Cluster 1,,28000,,Pleistocene,Pre-Extinction,Extinct,Pre extinction herb,,,,,-8.97,-2.17,30.65,-0.2,,,0,0,,Koch.2004,
SMNH-WACO-N,SMNH-WACO-N,Large,Herbivore,Grazer,Mammuthus,sp.,Mammuthus,sp.,Mammuthus,Mammuthus,10800000,SMNH,Waco Mammoth Site,31.6,-97.183333,Cluster 1,Cluster 1,,28000,,Pleistocene,Pre-Extinction,Extinct,Pre extinction herb,,,,,-8.81,-2.01,30.66,-0.19,,,0,0,,Koch.2004,
30967-352,30967-352,Large,Herbivore,Browser,Mammut,americanum,Mammut,americanum,Mammut,Mammut,7800000,TMM,Ingleside,27.87,-97.2,Cluster 3,Cluster 2,rm3,50000,,Pleistocene,Pre-Extinction,Extinct,Pre extinction herb,,,,,-16.9,-10.1,30.7,-0.155,,,0,0,,Yann et al 2016,
30967-240,30967-240,Large,Herbivore,Grazer,Camelops,sp.,Camelops,hesternus,Camelops,Camelops,1100000,TMM,Ingleside,27.87,-97.2,Cluster 3,Cluster 2,RM2,50000,,Pleistocene,Pre-Extinction,Extinct,Pre extinction herb,,,,,-18.5,-11.7,30.8,-0.058,,,0,0,,Yann et al 2016,
30967-525,30967-525,Large,Herbivore,Browser,Mammut,americanum,Mammut,americanum,Mammut,Mammut,7800000,TMM,Ingleside,27.87,-97.2,Cluster 3,Cluster 2,molar,50000,,Pleistocene,Pre-Extinction,Extinct,Pre extinction herb,,,,,-18.7,-11.9,30.8,-0.058,,,0,0,,Yann et al 2016,
SMP-60188,SMP-60188,Large,Herbivore,Grazer,Equus,sp.,Equus,sp.,Equus,Equus,400000,SMP,Moore.Pit,32.733333,-96.733333,Cluster 2,Cluster 1,,30000,,Pleistocene,Pre-Extinction,Extinct,Pre extinction herb,,,,,-14.24,-7.44,30.82,-0.04,,,0,0,,Koch.2004,
MSU-2825,MSU-2825,Large,Herbivore,Grazer,Bison,sp.,Bison,sp.,Bison,Bison,579255,MSU,Howard Ranch,34.37,-99.75,Cluster 4,Cluster 3,,16775,,Pleistocene,Pre-Extinction,Survivor,Pre extinction herb,,,,,-4.01,2.79,30.83,-0.03,,,0,0,,Koch.2004,
TMM-30967-242,30967-242,Large,Herbivore,Grazer,Equus,pacificus,Equus,sp.,Equus,Equus,400000,TMM,Ingleside,27.87,-97.2,Cluster 3,Cluster 2,,50000,,Pleistocene,Pre-Extinction,Extinct,Pre extinction herb,,,,,-8.09,-1.29,30.83,-0.03,,,0,0,,Koch.2004,
908-1751,908-1751,Large,Herbivore,Browser,Antilocapra,americana,Antilocapra,americana,Antilocapra,Antilocapra,46083,TMM,Kincaid Shelter,29.37,-99.47,Cluster 5,Cluster 4,"Zone 6, Square A-G, 5-6",1000,,Holocene,Post-Extinction,Survivor,Post extinction herb,,,,,-18.21749758,-11.41749758,30.85904656,-0.000924898,,,0,0,,Uark,
TMM-30967-1870,30967-1870,Large,Herbivore,Grazer,Equus,complicatus,Equus,sp.,Equus,Equus,400000,TMM,Ingleside,27.87,-97.2,Cluster 3,Cluster 2,,50000,,Pleistocene,Pre-Extinction,Extinct,Pre extinction herb,,,,,-10.25,-3.45,30.89,0.03,,,0,0,,Koch.2004,
30967-870,30967-870,Large,Herbivore,Grazer,Equus,sp.,Equus,sp.,Equus,Equus,400000,TMM,Ingleside,27.87,-97.2,Cluster 3,Cluster 2,Molar,50000,,Pleistocene,Pre-Extinction,Extinct,Pre extinction herb,,,,,-10.2,-3.4,30.9,0.039,,,0,0,,Yann et al 2016,
30967-728,30967-728,Large,Herbivore,Browser,Mammut,americanum,Mammut,americanum,Mammut,Mammut,7800000,TMM,Ingleside,27.87,-97.2,Cluster 3,Cluster 2,rm3,50000,,Pleistocene,Pre-Extinction,Extinct,Pre extinction herb,,,,,-17.3,-10.5,30.9,0.039,,,0,0,,Yann et al 2016,
30967-918,30967-918,Large,Herbivore,,Platygonus,compressus,Platygonus,compressus,NA,Platygonus,135000,TMM,Ingleside,27.87,-97.2,Cluster 3,Cluster 2,RM2,50000,,Pleistocene,,,,,,,,,-8.3,30.95,0.084263469,,,,,,x,
TMM-933-2198,933-2198,Large,Herbivore,Grazer,Bison,sp.,Bison,sp.,Bison,Bison,579255,TMM,Friesenhahn Cave,29.62,-98.37,Cluster 5,Cluster 4,,18500,used mid-point age,Pleistocene,Pre-Extinction,Survivor,Pre extinction herb,,,,,-8.9,-2.1,30.98,0.12,,,0,0,,Koch.2004,
30967-182,30967-182,Large,Herbivore,Grazer,Camelops,sp.,Camelops,hesternus,Camelops,Camelops,1100000,TMM,Ingleside,27.87,-97.2,Cluster 3,Cluster 2,fragment,50000,,Pleistocene,Pre-Extinction,Extinct,Pre extinction herb,,,,,-17.4,-10.6,31,0.136,,,0,0,,Yann et al 2016,
TMM-908-2436,908-2436,Large,Herbivore,Grazer,Equus,sp.,Equus,sp.,Equus,Equus,400000,TMM,Kincaid Shelter,29.37,-99.47,Cluster 5,Cluster 4,,13000,,Pleistocene,Pre-Extinction,Extinct,Pre extinction herb,,,,,-9.11,-2.31,31.02,0.16,,,0,0,,Koch.2004,
30967-1028,30967-1028,Large,Herbivore,Grazer,Palaeolama,mirifica,Palaeolama,mirifica,Palaeolama,Palaeolama,223000,TMM,Ingleside,27.87,-97.2,Cluster 3,Cluster 2,Late Pleistocene,50000,,Pleistocene,Pre-Extinction,Extinct,Pre extinction herb,,,,,-16.64526265,-9.84526265,31.03412936,0.168916594,,,0,0,,Uark,
TMM-933-3407,933-3407,Large,Herbivore,Grazer,Mammuthus,sp.,Mammuthus,sp.,Mammuthus,Mammuthus,10800000,TMM,Friesenhahn Cave,29.62,-98.37,Cluster 5,Cluster 4,,18500,used mid-point age,Pleistocene,Pre-Extinction,Extinct,Pre extinction herb,,,,,-10.33,-3.53,31.05,0.18,,,0,0,,Koch.2004,
TMM-31030-28,31030-28,Large,Herbivore,Grazer,Equus,sp.,Equus,sp.,Equus,Equus,400000,TMM,Valley Farms,32.25,-96.25,Cluster 2,Cluster 1,,30000,,Pleistocene,Pre-Extinction,Extinct,Pre extinction herb,,,,,-13.69,-6.89,31.07,0.2,,,0,0,,Koch.2004,
30967-239,30967-239,Large,Herbivore,Grazer,Camelops,sp.,Camelops,hesternus,Camelops,Camelops,1100000,TMM,Ingleside,27.87,-97.2,Cluster 3,Cluster 2,?LM1,50000,,Pleistocene,Pre-Extinction,Extinct,Pre extinction herb,,,,,-17.5,-10.7,31.1,0.233,,,0,0,,Yann et al 2016,
30967-944,30967-944,Large,Herbivore,Grazer,Palaeolama,mirifica,Palaeolama,mirifica,Palaeolama,Palaeolama,223000,TMM,Ingleside,27.87,-97.2,Cluster 3,Cluster 2,rm3,50000,,Pleistocene,Pre-Extinction,Extinct,Pre extinction herb,,,,,-19.1,-12.3,31.1,0.233,,,0,0,,Yann et al 2016,
30967-1869,30967-1869,Large,Herbivore,Browser,Odocoileus,,Odocoileus,sp.,Odocoileus,Odocoileus,55509,TMM,Ingleside,27.87,-97.2,Cluster 3,Cluster 2,Late Pleistocene (Pit #1),50000,,Pleistocene,Pre-Extinction,Survivor,Pre extinction herb,,,,,-19.15929592,-12.35929592,31.13561448,0.267363638,,,0,0,,Uark,
30967-470,30967-470,Large,Herbivore,Browser,Mammut,americanum,Mammut,americanum,Mammut,Mammut,7800000,TMM,Ingleside,27.87,-97.2,Cluster 3,Cluster 2,molar,50000,,Pleistocene,Pre-Extinction,Extinct,Pre extinction herb,,,,,-18.8,-12,31.2,0.33,,,0,0,,Yann et al 2016,
30967-711,30967-711,Large,Herbivore,Grazer,Mammuthus,columbi,Mammuthus,sp.,Mammuthus,Mammuthus,10800000,TMM,Ingleside,27.87,-97.2,Cluster 3,Cluster 2,fragment,50000,,Pleistocene,Pre-Extinction,Extinct,Pre extinction herb,,,,,-8,-1.2,31.2,0.33,,,0,0,,Yann et al 2016,
908-2373,908-2373,Large,Herbivore,Grazer,Camelops,sp.,Camelops,sp.,Camelops,Camelops,1100000,TMM,Kincaid Shelter,29.37,-99.47,Cluster 5,Cluster 4,"Zone 3, Square B-C, 2-3",13000,,Pleistocene,Pre-Extinction,Extinct,,,,,,-16.09,-9.29,31.27,0.397695982,,,,,,x,
30967-236,30967-236,Large,Herbivore,Grazer,Camelops,sp.,Camelops,hesternus,Camelops,Camelops,1100000,TMM,Ingleside,27.87,-97.2,Cluster 3,Cluster 2,P,50000,,Pleistocene,Pre-Extinction,Extinct,Pre extinction herb,,,,,-16.6,-9.8,31.3,0.427,,,0,0,,Yann et al 2016,
30967-230,30967-230,Large,Herbivore,Grazer,Equus,sp.,Equus,sp.,Equus,Equus,400000,TMM,Ingleside,27.87,-97.2,Cluster 3,Cluster 2,LP or M,50000,,Pleistocene,Pre-Extinction,Extinct,Pre extinction herb,,,,,-8,-1.2,31.3,0.427,,,0,0,,Yann et al 2016,
30967-090,30967-090,Large,Herbivore,Grazer,Palaeolama,mirifica,Palaeolama,mirifica,Palaeolama,Palaeolama,223000,TMM,Ingleside,27.87,-97.2,Cluster 3,Cluster 2,lm3,50000,,Pleistocene,Pre-Extinction,Extinct,Pre extinction herb,,,,,-18.2,-11.4,31.3,0.427,,,0,0,,Yann et al 2016,
30967-74,30967-74,Large,Herbivore,Browser,Tapirus,veroensis,Tapirus,veroensis,Tapirus,Tapirus,275000,TMM,Ingleside,27.87,-97.2,Cluster 3,Cluster 2,RM2,50000,,Pleistocene,Pre-Extinction,Extinct,Pre extinction herb,,,,,-19.1,-12.3,31.3,0.427,,,0,0,,Yann et al 2016,
TMM-30967-2230,30967-2230,Large,Herbivore,Grazer,Equus,complicatus,Equus,sp.,Equus,Equus,400000,TMM,Ingleside,27.87,-97.2,Cluster 3,Cluster 2,,50000,,Pleistocene,Pre-Extinction,Extinct,Pre extinction herb,,,,,-8.03,-1.23,31.31,0.44,,,0,0,,Koch.2004,
31141-22,31141-22,Large,Herbivore,Browser,Antilocapridae,,Antilocapridae,,Antilocapridae,Antilocapridae,46083,TMM,Aransas river,28.070491,-97.225472,Cluster 3,Cluster 2,,,,Pleistocene,Post-Extinction,Extinct,Pre extinction herb,,,,,-11.53325365,-4.73325365,31.3503268,0.475648294,,,0,0,,Uark,
30967-39,30967-39,Large,Herbivore,Grazer,Bison,antiquus,Bison,antiguus,Bison antiguus,Bison antiguus,579255,TMM,Ingleside,27.87,-97.2,Cluster 3,Cluster 2,P4,50000,,Pleistocene,Pre-Extinction,Extinct,Pre extinction herb,,,,,-6.3,0.5,31.4,0.524,,,0,0,,Yann et al 2016,
30967-322,30967-322,Large,Herbivore,Grazer,Mammuthus,columbi,Mammuthus,sp.,Mammuthus,Mammuthus,10800000,TMM,Ingleside,27.87,-97.2,Cluster 3,Cluster 2,fragment ,50000,,Pleistocene,Pre-Extinction,Extinct,Pre extinction herb,,,,,-6.6,0.2,31.4,0.524,,,0,0,,Yann et al 2016,
908-2464,908-2464,Large,Herbivore,Browser,Antilocapra,americana,Antilocapra,americana,Antilocapra,Antilocapra,46083,TMM,Kincaid Shelter,29.37,-99.47,Cluster 5,Cluster 4,NA,,,,,Survivor,,,,,,-16.91,-10.11,31.43,0.555491687,,,,,,x,
30967-314,30967-314,Large,Herbivore,Grazer,Palaeolama,mirifica,Palaeolama,mirifica,Palaeolama,Palaeolama,223000,TMM,Ingleside,27.87,-97.2,Cluster 3,Cluster 2,LM3,50000,,Pleistocene,Pre-Extinction,Extinct,Pre extinction herb,,,,,-17.2,-10.4,31.5,0.621,,,0,0,,Yann et al 2016,
SMP-61246,SMP-61246,Large,Herbivore,Grazer,Equus,sp.,Equus,sp.,Equus,Equus,400000,SMP,Ben Franklin,33.37,-95.75,Cluster 2,Cluster 1,,10317.5,used mid-point age,Pleistocene,Pre-Extinction,Extinct,Pre extinction herb,,,,,-9.69,-2.89,31.59,0.71,,,0,0,,Koch.2004,
30967-454,30967-454,Large,Herbivore,Grazer,Equus,sp.,Equus,sp.,Equus,Equus,400000,TMM,Ingleside,27.87,-97.2,Cluster 3,Cluster 2,M3,50000,,Pleistocene,Pre-Extinction,Extinct,Pre extinction herb,,,,,-10.3,-3.5,31.6,0.718,,,0,0,,Yann et al 2016,
30967-676,30967-676,Large,Herbivore,Grazer,Palaeolama,mirifica,Palaeolama,mirifica,Palaeolama,Palaeolama,223000,TMM,Ingleside,27.87,-97.2,Cluster 3,Cluster 2,lm3,50000,,Pleistocene,Pre-Extinction,Extinct,Pre extinction herb,,,,,-18.9,-12.1,31.6,0.718,,,0,0,,Yann et al 2016,
908-4202,908-4202,Large,Herbivore,Browser,Antilocapra,americana,Antilocapra,americana,Antilocapra,Antilocapra,46083,TMM,Kincaid Shelter,29.37,-99.47,Cluster 5,Cluster 4,Disturbed Fill,,,,,Survivor,,,,,,-10.48,,31.64,0.75999806,,,,,,x,
30967-457,30967-457,Large,Herbivore,Grazer,Equus,sp.,Equus,sp.,Equus,Equus,400000,TMM,Ingleside,27.87,-97.2,Cluster 3,Cluster 2,rm3,50000,,Pleistocene,Pre-Extinction,Extinct,Pre extinction herb,,,,,-10.8,-4,31.7,0.815,,,0,0,,Yann et al 2016,
30967-247,30967-247,Large,Herbivore,Browser,Mammut,americanum,Mammut,americanum,Mammut,Mammut,7800000,TMM,Ingleside,27.87,-97.2,Cluster 3,Cluster 2,molar,50000,,Pleistocene,Pre-Extinction,Extinct,Pre extinction herb,,,,,-18,-11.2,31.7,0.815,,,0,0,,Yann et al 2016,
30967-593,30967-593,Large,Herbivore,Browser,Mammut,americanum,Mammut,americanum,Mammut,Mammut,7800000,TMM,Ingleside,27.87,-97.2,Cluster 3,Cluster 2,molar,50000,,Pleistocene,Pre-Extinction,Extinct,Pre extinction herb,,,,,-17.9,-11.1,31.7,0.815,,,0,0,,Yann et al 2016,
30967-585,30967-585,Large,Herbivore,Grazer,Palaeolama,mirifica,Palaeolama,mirifica,Palaeolama,Palaeolama,223000,TMM,Ingleside,27.87,-97.2,Cluster 3,Cluster 2,lm3,50000,,Pleistocene,Pre-Extinction,Extinct,Pre extinction herb,,,,,-17.4,-10.6,31.7,0.815,,,0,0,,Yann et al 2016,
TMM-30967-1662,30967-1662,Large,Herbivore,Grazer,Bison,sp.,Bison,sp.,Bison,Bison,579255,TMM,Ingleside,27.87,-97.2,Cluster 3,Cluster 2,,50000,,Pleistocene,Pre-Extinction,Survivor,Pre extinction herb,,,,,-7.63,-0.83,31.76,0.87,,,0,0,,Koch.2004,
30967-662,30967-662,Large,Herbivore,Grazer,Bison,antiquus,Bison,antiguus,Bison antiguus,Bison antiguus,579255,TMM,Ingleside,27.87,-97.2,Cluster 3,Cluster 2,molar,50000,,Pleistocene,Pre-Extinction,Extinct,Pre extinction herb,,,,,-7.6,-0.8,31.8,0.912,,,0,0,,Yann et al 2016,
30967-110,30967-110,Large,Herbivore,Grazer,Bison,antiquus,Bison,antiguus,Bison antiguus,Bison antiguus,579255,TMM,Ingleside,27.87,-97.2,Cluster 3,Cluster 2,P4,50000,,Pleistocene,Pre-Extinction,Extinct,Pre extinction herb,,,,,-5,1.8,31.8,0.912,,,0,0,,Yann et al 2016,
TMM-30967-930,30967-930,Large,Herbivore,Grazer,Bison,antiquus,Bison,antiguus,Bison antiguus,Bison antiguus,579255,TMM,Ingleside,27.87,-97.2,Cluster 3,Cluster 2,,50000,,Pleistocene,Pre-Extinction,Extinct,Pre extinction herb,,,,,-6.38,0.42,31.85,0.96,,,0,0,,Koch.2004,
30967-540,30967-540,Large,Herbivore,Grazer,Equus,sp.,Equus,sp.,Equus,Equus,400000,TMM,Ingleside,27.87,-97.2,Cluster 3,Cluster 2,RP4,50000,,Pleistocene,Pre-Extinction,Extinct,Pre extinction herb,,,,,-10.2,-3.4,31.9,1.009,,,0,0,,Yann et al 2016,
30967-107,30967-107,Large,Herbivore,Browser,Odocoileus,virginianus,Odocoileus,sp.,Odocoileus,Odocoileus,55509,TMM,Ingleside,27.87,-97.2,Cluster 3,Cluster 2,,50000,,Pleistocene,Pre-Extinction,Survivor,Pre extinction herb,,,,,-18.7,-11.9,31.9,1.009,,,0,0,,Yann et al 2016,
30967-289,30967-289,Large,Herbivore,Grazer,Palaeolama,mirifica,Palaeolama,mirifica,Palaeolama,Palaeolama,223000,TMM,Ingleside,27.87,-97.2,Cluster 3,Cluster 2,rm3,50000,,Pleistocene,Pre-Extinction,Extinct,Pre extinction herb,,,,,-19.2,-12.4,31.9,1.009,,,0,0,,Yann et al 2016,
30967-1869,30967-1869,Large,Herbivore,Browser,Odocoileus,,Odocoileus,sp.,Odocoileus,Odocoileus,55509,TMM,Ingleside,27.87,-97.2,Cluster 3,Cluster 2,Late Pleistocene (Pit #1),50000,,Pleistocene,Pre-Extinction,Survivor,Pre extinction herb,,,,,-18.93,-12.13,31.91,1.018567022,,,0,0,,Uark,
TMM-30967-1540,30967-1540,Large,Herbivore,Grazer,Equus,pacificus,Equus,sp.,Equus,Equus,400000,TMM,Ingleside,27.87,-97.2,Cluster 3,Cluster 2,,50000,,Pleistocene,Pre-Extinction,Extinct,Pre extinction herb,,,,,-10.16,-3.36,31.93,1.04,,,0,0,,Koch.2004,
SMP-60130,SMP-60130,Large,Herbivore,Grazer,Equus,midlandensis,Equus,sp.,Equus,Equus,400000,SMP,Moore.Pit,32.733333,-96.733333,Cluster 2,Cluster 1,,30000,,Pleistocene,Pre-Extinction,Extinct,Pre extinction herb,,,,,-10.73,-3.93,31.98,1.09,,,0,0,,Koch.2004,
SMP-60840,SMP-60840,Large,Herbivore,Grazer,Equus,sp.,Equus,sp.,Equus,Equus,400000,SMP,Clear Creek,33.25,-97,Cluster 2,Cluster 1,,28840,,Pleistocene,Pre-Extinction,Extinct,Pre extinction herb,,,,,-11.54,-4.74,32.28,1.38,,,0,0,,Koch.2004,
30967-108,30967-108,Large,Herbivore,NA,Platygonus,compressus,Platygonus,compressus,NA,Platygonus,135000,TMM,Ingleside,27.87,-97.2,Cluster 3,Cluster 2,fragment,50000,,Pleistocene,Pre-Extinction,Extinct,Pre extinction herb,,,,,-15.9,-9.1,32.3,1.397,,,0,0,,Yann et al 2016,
30967-584,30967-584,Large,Herbivore,Grazer,Palaeolama,mirifica,Palaeolama,mirifica,Palaeolama,Palaeolama,223000,TMM,Ingleside,27.87,-97.2,Cluster 3,Cluster 2,rm3,50000,,Pleistocene,Pre-Extinction,Extinct,Pre extinction herb,,,,,-19,-12.2,32.6,1.688,,,0,0,,Yann et al 2016,
30967-918,30967-918,Large,Herbivore,NA,Platygonus,compressus,Platygonus,compressus,NA,Platygonus,135000,TMM,Ingleside,27.87,-97.2,Cluster 3,Cluster 2,LM3,50000,,Pleistocene,Pre-Extinction,Extinct,Pre extinction herb,,,,,-15.6,-8.8,32.6,1.688,,,0,0,,Yann et al 2016,
30967-939,30967-939,Large,Herbivore,Grazer,Bison,antiquus,Bison,antiguus,Bison antiguus,Bison antiguus,579255,TMM,Ingleside,27.87,-97.2,Cluster 3,Cluster 2,P4,50000,,Pleistocene,Pre-Extinction,Extinct,Pre extinction herb,,,,,-5.9,0.9,32.9,1.979,,,0,0,,Yann et al 2016,
908-1569,908-1569,Large,Herbivore,Browser,Antilocapra,americana,Antilocapra,americana,Antilocapra,Antilocapra,46083,TMM,Kincaid Shelter,29.37,-99.47,Cluster 5,Cluster 4,"Zone 6, Square E-F, 4-5, #229",1000,,Holocene,Pre-Extinction,Survivor,Pre extinction herb,,,,,-17.58,-10.78,33.43,2.493064044,,,0,0,,Uark,
TMM-30967-241,30967-241,Large,Herbivore,Grazer,Equus,complicatus,Equus,sp.,Equus,Equus,400000,TMM,Ingleside,27.87,-97.2,Cluster 3,Cluster 2,,50000,,Pleistocene,Pre-Extinction,Extinct,Pre extinction herb,,,,,-10.49,-3.69,34.27,3.31,,,0,0,,Koch.2004,
908-1413,908-1413,Large,Herbivore,Browser,Antilocapra,americana,Antilocapra,americana,Antilocapra,Antilocapra,46083,TMM,Kincaid Shelter,29.37,-99.47,Cluster 5,Cluster 4,"Zone 6, Square E-F, 2-3",1000,,Holocene,Post-Extinction,Survivor,Post extinction herb,5,A10,0.562,5.8,-19.9,,,,16.4,47,2.9,0,,x,
908-335,908-335,Large,Herbivore,Browser,Antilocapra,americana,Antilocapra,americana,Antilocapra,Antilocapra,46083,TMM,Kincaid Shelter,29.37,-99.47,Cluster 5,Cluster 4,"Zone 6, Square A-B, 8-9",1000,,Holocene,Post-Extinction,Survivor,Post extinction herb,5,F9,0.579,6,-19.9,,,,15.4,43.8,2.8,0,,x,
908-835,908-835,Large,Herbivore,Browser,Antilocapra,americana,Antilocapra,americana,Antilocapra,Antilocapra,46083,TMM,Kincaid Shelter,29.37,-99.47,Cluster 5,Cluster 4,"Zone 6, Square B-C, 7-8",1000,,Holocene,Post-Extinction,Survivor,Post extinction herb,5,D4,0.508,5.5,-19.9,,,,14.8,43.4,2.9,0,,x,
908-3745,908-3745,Large,Herbivore,Browser,Antilocapra,americana,Antilocapra,americana,Antilocapra,Antilocapra,46083,TMM,Kincaid Shelter,29.37,-99.47,Cluster 5,Cluster 4,"Zone 6, Square A-G, 6-7",1000,,Holocene,Post-Extinction,Survivor,Post extinction herb,4,D8,0.54,7,-19.9,,,,15.8,44.7,2.8,0,,x,
908-180,908-180,Large,Herbivore,Browser,Antilocapra,americana,Antilocapra,americana,Antilocapra,Antilocapra,46083,TMM,Kincaid Shelter,29.37,-99.47,Cluster 5,Cluster 4,"Zone 6, Square A-B, 6-7",1000,,Holocene,Post-Extinction,Survivor,Post extinction herb,4,B1,0.558,5.8,-19.8,,,,15.9,45,2.8,0,,x,
908-2249,908-2249,Large,Herbivore,Browser,Antilocapra,americana,Antilocapra,americana,Antilocapra,Antilocapra,46083,TMM,Kincaid Shelter,29.37,-99.47,Cluster 5,Cluster 4,"Zone 6, Square J-K, 3-4",1000,,Holocene,Post-Extinction,Survivor,Post extinction herb,5,B3,0.57,6.1,-19.8,,,,15.8,45.5,2.9,0,,x,
908-833,908-833,Large,Herbivore,Browser,Antilocapra,americana,Antilocapra,americana,Antilocapra,Antilocapra,46083,TMM,Kincaid Shelter,29.37,-99.47,Cluster 5,Cluster 4,"Zone 6, Square B-C, 7-8",1000,,Holocene,Post-Extinction,Survivor,Post extinction herb,4,C11,0.516,6.2,-19.7,,,,15.8,44.7,2.8,0,,x,
908-121,908-121,Large,Herbivore,Browser,Antilocapra,americana,Antilocapra,americana,Antilocapra,Antilocapra,46083,TMM,Kincaid Shelter,29.37,-99.47,Cluster 5,Cluster 4,"Zone 6, Square A-B, 5-6",1000,,Holocene,Post-Extinction,Survivor,Post extinction herb,5,F1,0.55,6.1,-19.5,,,,15.3,43.9,2.9,0,,x,
